drop,player_id,drop2,valid,event_id,year,tourns0411$tourn_id[[t]]
MM_openBrWindow('ScoreCard.asp?TN=T02,15668,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16413,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18540,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18589,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15882,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16363,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16813,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,12407,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19504,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15696,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,8676,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18637,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15795,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,12503,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18975,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18774,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,17447,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16005,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15610,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19404,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19091,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16132,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,15971,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19534,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19393,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,14705,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18726,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,17204,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18450,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,17585,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19547,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19099,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16560,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19337,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18538,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16947,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19530,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,13420,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19235,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16584,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18711,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,18991,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,17471,"1','','width=790,height=200')",TRUE,T02,2004,NA
